restaurant_name,rating,price_for_one,cuisine,item_name,description,price
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Pizza,Detect current location,₹219
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Pizza,Order Online/,₹219
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Cheese Margherita Pizza,Loaded with extra cheese.,₹219
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Cheese Margherita Pizza,,₹219
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Fresh Veggie Pizza,Onion and capsicum.,₹239
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Fresh Veggie Pizza,,₹239
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Farm House Pizza,"Onion, capsicum, tomato and mushroom.",₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Farm House Pizza,,₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Mexican Pizza,"Onion, capsicum, tomato and jalapeno.",₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Mexican Pizza,,₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Peepy Paneer Pizza,"Capsicum, red pepper and paneer.",₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Peepy Paneer Pizza,,₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Paradise Pizza,"Capsicum, red pepper, black olive and golden corn.",₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Paradise Pizza,,₹260
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Paneer Makhani Pizza,"Capsicum, paneer with makhani sauce.",₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Paneer Makhani Pizza,,₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Deluxe Veggie Pizza,"Onion, capsicum, mushroom, golden corn with paneer.",₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Deluxe Veggie Pizza,,₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Veg Extravaganza Pizza,"Onion, capsicum, tomato, mushroom, black olive jalapeno, golden corn with extra cheese.",₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Veg Extravaganza Pizza,,₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Kadhai Paneer Pizza,Onion and capsicum with paneer.,₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Kadhai Paneer Pizza,,₹309
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Delicious Pahadi Pizza,As per customer choice.,₹323
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Delicious Pahadi Pizza,,₹323
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Onion Pizza,,₹100
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Tomato Pizza,,₹100
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Capsicum Pizza,,₹100
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Onion Capsicum Pizza,,₹160
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Golden Corn Pizza,,₹120
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Cheese Pizza,,₹149
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Paneer Onion Pizza,,₹160
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Veg Loaded Pizza,,₹200
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",White Sauce Pasta,,₹119
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Red Sauce Pasta,,₹99
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Veg Burger,,₹95
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Premium Burger,,₹95
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Garlic Bread,,₹99
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Stuffed Garlic Bread,,₹119
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Veg Pocket,"Capsicum, onion, red pepper and paneer.",₹89
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Veg Pocket,,₹89
Pahadi Pizza,3.7,₹150 for one,"Desserts, Pizza",Choco Lava Cake,,₹95
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Bowls,Detect current location,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Bowls,Order Online/,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Manchurian Fried Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Paneer Fried Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Manchurian Noodles Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Paneer Noodles Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Dal Makhani Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Rajma Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Makhani Rice Bowl,"Cottage cheese cooked in makhani gravy served with steamed rice, sirka onion and ... read more",₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Makhani Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Egg Curry Rice Bowl [2 Eggs],,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Chicken Fried Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Chicken Noodles Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Curry Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chole Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Kadhi Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Butter Masala Rice Bowl,"Rice and creamy curry made with paneer, Indian spices.",₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Butter Masala Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Keema Rice Bowl,Chicken keema cooked with some typical Indian masala.,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Keema Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Masala Rice Bowl,Spicy and flavorful chicken masala.,₹210
